(.venv) alessandro@MacBook-Air-di-Alessandro vamola % /Users/alessandro/Programmi/vamola/.venv/bin/python /Users/alessandro/Programmi/vamola/harmonic_o
scillator.py
0.0 s: step 0 of iteration 1, stdev = inf
5.0 s: step 1571 of iteration 1, stdev = inf
10.0 s: step 3168 of iteration 1, stdev = inf
15.0 s: step 4733 of iteration 1, stdev = inf
20.0 s: step 6237 of iteration 1, stdev = inf
25.0 s: step 7788 of iteration 1, stdev = inf
30.0 s: step 9333 of iteration 1, stdev = inf
35.0 s: step 10871 of iteration 1, stdev = inf
40.0 s: step 12420 of iteration 1, stdev = inf
45.0 s: step 13978 of iteration 1, stdev = inf
50.0 s: step 15317 of iteration 1, stdev = inf
55.0 s: step 16798 of iteration 1, stdev = inf
60.0 s: step 18347 of iteration 1, stdev = inf
65.0 s: step 19897 of iteration 1, stdev = inf
70.0 s: step 21450 of iteration 1, stdev = inf
75.0 s: step 23003 of iteration 1, stdev = inf
80.0 s: step 24557 of iteration 1, stdev = inf
85.0 s: step 26109 of iteration 1, stdev = inf
90.0 s: step 27663 of iteration 1, stdev = inf
95.0 s: step 29217 of iteration 1, stdev = inf
180.0 s: step 442 of iteration 2, stdev = [0.51484968]
185.0 s: step 2013 of iteration 2, stdev = [0.51484968]
190.0 s: step 3585 of iteration 2, stdev = [0.51484968]
195.0 s: step 5122 of iteration 2, stdev = [0.51484968]
200.0 s: step 6647 of iteration 2, stdev = [0.51484968]
205.0 s: step 8174 of iteration 2, stdev = [0.51484968]
210.0 s: step 9700 of iteration 2, stdev = [0.51484968]
215.0 s: step 11226 of iteration 2, stdev = [0.51484968]
220.0 s: step 12754 of iteration 2, stdev = [0.51484968]
225.0 s: step 14280 of iteration 2, stdev = [0.51484968]
230.0 s: step 15806 of iteration 2, stdev = [0.51484968]
235.0 s: step 17330 of iteration 2, stdev = [0.51484968]
240.0 s: step 18853 of iteration 2, stdev = [0.51484968]
245.0 s: step 20378 of iteration 2, stdev = [0.51484968]
250.0 s: step 21873 of iteration 2, stdev = [0.51484968]
255.0 s: step 23396 of iteration 2, stdev = [0.51484968]
260.0 s: step 24917 of iteration 2, stdev = [0.51484968]
265.0 s: step 26441 of iteration 2, stdev = [0.51484968]
270.0 s: step 27964 of iteration 2, stdev = [0.51484968]
275.0 s: step 29488 of iteration 2, stdev = [0.51484968]
390.0 s: step 1183 of iteration 3, stdev = [0.12453919]
395.0 s: step 2749 of iteration 3, stdev = [0.12453919]
400.0 s: step 4308 of iteration 3, stdev = [0.12453919]
405.0 s: step 5832 of iteration 3, stdev = [0.12453919]
410.0 s: step 7354 of iteration 3, stdev = [0.12453919]
415.0 s: step 8881 of iteration 3, stdev = [0.12453919]
420.0 s: step 10406 of iteration 3, stdev = [0.12453919]
425.0 s: step 11934 of iteration 3, stdev = [0.12453919]
430.0 s: step 13460 of iteration 3, stdev = [0.12453919]
435.0 s: step 14988 of iteration 3, stdev = [0.12453919]
440.0 s: step 16515 of iteration 3, stdev = [0.12453919]
445.0 s: step 18041 of iteration 3, stdev = [0.12453919]
450.0 s: step 19568 of iteration 3, stdev = [0.12453919]
455.0 s: step 21096 of iteration 3, stdev = [0.12453919]
460.0 s: step 22622 of iteration 3, stdev = [0.12453919]
465.0 s: step 24149 of iteration 3, stdev = [0.12453919]
470.0 s: step 25675 of iteration 3, stdev = [0.12453919]
475.0 s: step 27201 of iteration 3, stdev = [0.12453919]
480.0 s: step 28726 of iteration 3, stdev = [0.12453919]
595.0 s: step 482 of iteration 4, stdev = [0.01748055]
600.0 s: step 2058 of iteration 4, stdev = [0.01748055]
605.0 s: step 3632 of iteration 4, stdev = [0.01748055]
610.0 s: step 5169 of iteration 4, stdev = [0.01748055]
615.0 s: step 6698 of iteration 4, stdev = [0.01748055]
620.0 s: step 8226 of iteration 4, stdev = [0.01748055]
625.0 s: step 9755 of iteration 4, stdev = [0.01748055]
630.0 s: step 11283 of iteration 4, stdev = [0.01748055]
635.0 s: step 12811 of iteration 4, stdev = [0.01748055]
640.0 s: step 14341 of iteration 4, stdev = [0.01748055]
645.0 s: step 15869 of iteration 4, stdev = [0.01748055]
650.0 s: step 17218 of iteration 4, stdev = [0.01748055]
655.0 s: step 18736 of iteration 4, stdev = [0.01748055]
660.0 s: step 20262 of iteration 4, stdev = [0.01748055]
665.0 s: step 21791 of iteration 4, stdev = [0.01748055]
670.0 s: step 23320 of iteration 4, stdev = [0.01748055]
675.0 s: step 24849 of iteration 4, stdev = [0.01748055]
680.0 s: step 26377 of iteration 4, stdev = [0.01748055]
685.0 s: step 27907 of iteration 4, stdev = [0.01748055]
690.0 s: step 29435 of iteration 4, stdev = [0.01748055]
805.0 s: step 755 of iteration 5, stdev = [0.01124604]
810.0 s: step 2324 of iteration 5, stdev = [0.01124604]
815.0 s: step 3883 of iteration 5, stdev = [0.01124604]
820.0 s: step 5410 of iteration 5, stdev = [0.01124604]
825.0 s: step 6936 of iteration 5, stdev = [0.01124604]
830.0 s: step 8469 of iteration 5, stdev = [0.01124604]
835.0 s: step 10000 of iteration 5, stdev = [0.01124604]
840.0 s: step 11529 of iteration 5, stdev = [0.01124604]
845.0 s: step 13062 of iteration 5, stdev = [0.01124604]
850.0 s: step 14596 of iteration 5, stdev = [0.01124604]
855.0 s: step 16129 of iteration 5, stdev = [0.01124604]
860.0 s: step 17661 of iteration 5, stdev = [0.01124604]
865.0 s: step 19194 of iteration 5, stdev = [0.01124604]
870.0 s: step 20726 of iteration 5, stdev = [0.01124604]
875.0 s: step 22256 of iteration 5, stdev = [0.01124604]
880.0 s: step 23785 of iteration 5, stdev = [0.01124604]
885.0 s: step 25315 of iteration 5, stdev = [0.01124604]
890.0 s: step 26843 of iteration 5, stdev = [0.01124604]
895.0 s: step 28372 of iteration 5, stdev = [0.01124604]
900.0 s: step 29898 of iteration 5, stdev = [0.01124604]
1010.0 s: step 171 of iteration 6, stdev = [0.00033653]
1015.0 s: step 1742 of iteration 6, stdev = [0.00033653]
1020.0 s: step 3301 of iteration 6, stdev = [0.00033653]
1025.0 s: step 4846 of iteration 6, stdev = [0.00033653]
1030.0 s: step 6374 of iteration 6, stdev = [0.00033653]
1035.0 s: step 7897 of iteration 6, stdev = [0.00033653]
1040.0 s: step 9425 of iteration 6, stdev = [0.00033653]
1045.0 s: step 10954 of iteration 6, stdev = [0.00033653]
1050.0 s: step 12482 of iteration 6, stdev = [0.00033653]
1055.0 s: step 14012 of iteration 6, stdev = [0.00033653]
1060.0 s: step 15535 of iteration 6, stdev = [0.00033653]
1065.0 s: step 17047 of iteration 6, stdev = [0.00033653]
1070.0 s: step 18373 of iteration 6, stdev = [0.00033653]
1075.0 s: step 19646 of iteration 6, stdev = [0.00033653]
1080.0 s: step 21158 of iteration 6, stdev = [0.00033653]
1085.0 s: step 22688 of iteration 6, stdev = [0.00033653]
1090.0 s: step 24000 of iteration 6, stdev = [0.00033653]
1095.0 s: step 24963 of iteration 6, stdev = [0.00033653]
1100.0 s: step 26484 of iteration 6, stdev = [0.00033653]
1105.0 s: step 27834 of iteration 6, stdev = [0.00033653]
1110.0 s: step 29205 of iteration 6, stdev = [0.00033653]
================================ Converged with alpha = [0.49768585] ================================
Energy = [0.50045165] with stdev = [3.88418339e-05]
